rotulo;acc_sessao1;crossval_sessao1_media;crossval_sessao1_std;acc_sessao2;crossval_sessao2_media;crossval_sessao2_std;acc_media;crossval_media;crossval_std_medio
Sujeito 1;97.87;96.58;3.95;97.87;95.72;3.55;97.87;96.15;3.75
Sujeito 2;100;90.56;9.46;100;95.69;3.06;100;93.125;6.26
Sujeito 3;97.87;92.22;4.04;97.87;94.86;6.83;97.87;93.54;5.435
Sujeito 4;100;99.57;0.85;95.74;87.05;4.8;97.87;93.31;2.825
Sujeito 5;95.74;94.85;2.89;100;96.98;2.22;97.87;95.915;2.555
Sujeito 6;91.49;93.52;3.06;93.62;93.11;4.18;92.55;93.315;3.62
Sujeito 7;100;95.74;6.45;100;98.29;1.59;100;97.015;4.02
Sujeito 8;97.87;95.73;6.45;97.87;94.38;2.22;97.87;95.055;4.335
Sujeito 9;100;96.98;1.73;100;94.88;5.48;100;95.93;3.605
Sujeito 10;95.74;93.08;5.41;97.87;97.85;2.71;96.81;95.465;4.06
Sujeito 11;100;94.87;3.94;100;96.11;2.89;100;95.49;3.415
Sujeito 12;97.87;92.7;3.14;85.11;86.28;10.78;91.49;89.49;6.96
Sujeito 13;100;96.98;2.92;97.87;92.7;6.24;98.94;94.84;4.58
Sujeito 14;95.74;94.38;4.66;93.62;94.85;2.14;94.68;94.615;3.4
Sujeito 15;97.87;97.42;3.16;97.87;97.01;4.96;97.87;97.215;4.06
Sujeito 16;80.85;79.79;11.68;97.87;89.67;4.12;89.36;84.73;7.9
Sujeito 17;100;100;0;100;99.13;1.06;100;99.565;0.53
Sujeito 18;93.62;91.85;4.31;100;97.83;2.75;96.81;94.84;3.53
Sujeito 19;100;94.83;2.21;97.87;97.43;3.41;98.94;96.13;2.81
Sujeito 20;93.62;86.68;8.03;97.87;91.85;5.62;95.74;89.265;6.825
Média;96.81;93.92;4.42;97.45;94.58;4.03;97.13;94.25;4.225
