rotulo;acc_sessao1;crossval_sessao1_media;crossval_sessao1_std;acc_sessao2;crossval_sessao2_media;crossval_sessao2_std;acc_media;crossval_medio;crossval_std_medio
Sujeito 1;59.57;73.79;9.97;72.34;78.02;10.91;65.96;75.905;10.44
Sujeito 2;72.34;69.85;3.36;78.72;79.79;6.19;75.53;74.82;4.775
Sujeito 3;68.09;62.58;10.41;61.7;61.22;5.88;64.89;61.9;8.145
Sujeito 4;91.49;93.97;2.51;87.23;84.02;4.94;89.36;88.995;3.725
Sujeito 5;85.11;77.17;5.13;87.23;82.39;6.55;86.17;79.78;5.84
Sujeito 6;68.09;61.63;5.43;48.94;58.22;9.77;58.51;59.925;7.6
Sujeito 7;74.47;81.05;5.76;87.23;85.34;4.22;80.85;83.195;4.99
Sujeito 8;80.85;72.51;11.18;59.57;68.97;3.95;70.21;70.74;7.565
Sujeito 9;82.98;75.45;3.88;68.09;65.94;5.08;75.53;70.695;4.48
Sujeito 10;72.34;68.56;8.61;59.57;70.3;9.27;65.96;69.43;8.94
Sujeito 11;91.49;87.99;8.09;82.98;80.17;7.83;87.23;84.08;7.96
Sujeito 12;74.47;74.22;9.69;70.21;74.65;10.13;72.34;74.435;9.91
Sujeito 13;76.6;72.85;7.02;63.83;66.85;6.28;70.21;69.85;6.65
Sujeito 14;80.85;64.22;3.55;63.83;67.23;5.36;72.34;65.725;4.455
Sujeito 15;65.96;64.23;6.21;89.36;82.33;9.25;77.66;73.28;7.73
Sujeito 16;68.09;55.58;8.67;76.6;61.63;2.98;72.34;58.605;5.825
Sujeito 17;95.74;91.42;4.01;93.62;80.62;6.81;94.68;86.02;5.41
Sujeito 18;85.11;75.87;4.27;76.6;61.17;9.31;80.85;68.52;6.79
Sujeito 19;80.85;78.09;9.2;51.06;58.2;9.43;65.96;68.145;9.315
Sujeito 20;61.7;51.76;6.07;44.68;61.17;7.28;53.19;56.465;6.675
Média;76.81;72.64;6.65;71.17;71.41;7.07;73.99;72.025;6.86
